STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference_area,FREQ,Frequency_of_observation,MEASURE,Measure,UNIT_MEASURE,Unit_of_measure,ACTIVITY,Economic_activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation_status,UNIT_MULT,Unit_multiplier,DECIMALS,Decimals,BASE_PER,Base_period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1991-Q1,,15.74,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1991-Q2,,16.05,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1991-Q3,,16.6866666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1991-Q4,,16.9,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1992-Q1,,16.64,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1992-Q2,,16.07,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1992-Q3,,14.6166666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1992-Q4,,14.4333333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1993-Q1,,14.5,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1993-Q2,,14.8766666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1993-Q3,,13.7933333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1993-Q4,,12.7,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1994-Q1,,12.6666666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1994-Q2,,13.82,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1994-Q3,,15.9566666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1994-Q4,,16.8833333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1995-Q1,,16.8533333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1995-Q2,,16.85,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1995-Q3,,16.0233333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1995-Q4,,14.7,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1996-Q1,,14.3033333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1996-Q2,,16.03,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1996-Q3,,15.5433333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1996-Q4,,16.0566666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1997-Q1,,15.3366666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1997-Q2,,15.0133333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1997-Q3,,14.21,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1997-Q4,,14.23,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1998-Q1,,13.4766666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1998-Q2,,13.66,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1998-Q3,,17.0466666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1998-Q4,,16.3066666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1999-Q1,,15.1033333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1999-Q2,,14.8833333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1999-Q3,,15.2,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1999-Q4,,14.42,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2000-Q1,,13.6366666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2000-Q2,,14.4633333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2000-Q3,,13.7133333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2000-Q4,,13.3333333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2001-Q1,,12.1233333333333,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2001-Q2,,11.8066666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2001-Q3,,10.82,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2001-Q4,,10.8766666666667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2002-Q1,,12.089480861244,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2002-Q2,,11.9181802992329,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2002-Q3,,11.1870189786059,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2002-Q4,,10.8408368747957,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2003-Q1,,10.0443181818182,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2003-Q2,,9.66275605680869,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2003-Q3,,9.57792960662526,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2003-Q4,,9.18426811594203,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2004-Q1,,9.38732251082251,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2004-Q2,,10.1653439153439,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2004-Q3,,9.69772727272727,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2004-Q4,,8.81077922077922,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005-Q1,,8.08387301587302,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005-Q2,,8.29697619047619,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005-Q3,,8.0088455988456,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005-Q4,,7.87844083694084,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2006-Q1,,7.35322222222222,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2006-Q2,,7.75744503862151,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2006-Q3,,8.61299639249639,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2006-Q4,,8.01581339712919,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007-Q1,,7.58224098124098,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007-Q2,,7.77439153439153,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007-Q3,,8.38272727272727,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007-Q4,,8.21116252034411,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008-Q1,,8.73602870813397,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008-Q2,,9.67276984126984,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008-Q3,,9.45706211180126,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008-Q4,,8.49840579710145,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2009-Q1,,8.1414696969697,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2009-Q2,,8.70815608465609,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2009-Q3,,8.86634057971014,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2009-Q4,,9.04880952380953,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2010-Q1,,9.09292424242424,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2010-Q2,,8.8887552213868,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2010-Q3,,8.3018253968254,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2010-Q4,,8.17816017316018,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011-Q1,,8.70801803751804,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011-Q2,,8.59468253968254,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011-Q3,,8.29486753246753,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011-Q4,,8.45877192982456,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012-Q1,,8.34174603174604,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012-Q2,,8.25137037037037,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,ZAF,South Africa,Q,Quarterly,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012-Q3,,7.47155502392345,,A,Normal value,0,Units,1,One,,
